item_id,activation_date,date_from,date_to
2d8c606d30aa,2017-02-16,2017-03-15,2017-03-18
35761afdc1e2,2017-03-02,2017-03-15,2017-03-28
f347d5ec317c,2017-02-23,2017-03-15,2017-03-24
6166a00a18ec,2017-02-17,2017-03-15,2017-03-19
56db7c25756e,2017-02-19,2017-03-15,2017-03-21
4245115a5d04,2017-02-20,2017-03-15,2017-03-22
f915bdf2f31c,2017-02-19,2017-03-15,2017-03-20
76b1a217796d,2017-02-24,2017-03-15,2017-03-26
33be0eb80cda,2017-02-20,2017-03-15,2017-03-22
e5c649e13da5,2017-03-19,2017-03-19,2017-03-28
59868284631e,2017-03-06,2017-03-15,2017-03-28
875cef89bc77,2017-03-14,2017-03-15,2017-03-21
2b0aceb1c774,2017-03-12,2017-03-15,2017-03-28
c6560857767c,2017-02-26,2017-03-15,2017-03-28
973770f7e320,2017-03-20,2017-03-20,2017-03-28
070288aa502d,2017-03-21,2017-03-21,2017-03-25
fe27dc270f97,2017-02-16,2017-03-15,2017-03-18
5b552408c035,2017-03-07,2017-03-15,2017-03-28
d742997c33d6,2017-03-04,2017-03-15,2017-03-28
3f919d6906ae,2017-03-03,2017-03-15,2017-03-28
9a2fbf1b9c61,2017-02-27,2017-03-15,2017-03-28
86b5a81944ad,2017-03-15,2017-03-15,2017-03-18
944900769c7f,2017-03-10,2017-03-15,2017-03-28
2aec91636a85,2017-03-24,2017-03-24,2017-03-28
e74f45036911,2017-03-28,2017-03-28,2017-03-28
4ae0205e6faa,2017-02-23,2017-03-15,2017-03-25
66de08a5b663,2017-02-28,2017-03-15,2017-03-28
e7f073f350b4,2017-02-16,2017-03-15,2017-03-18
93a83130aa44,2017-03-18,2017-03-18,2017-03-28
fa9ee94412c3,2017-03-17,2017-03-17,2017-03-28
a80913f55ccd,2017-03-18,2017-03-18,2017-03-28
13357ec42713,2017-03-20,2017-03-20,2017-03-28
8e52bd685025,2017-03-18,2017-03-18,2017-03-28
acddb6b080cd,2017-03-12,2017-03-15,2017-03-28
25066e65361e,2017-03-08,2017-03-15,2017-03-28
d396de9e837e,2017-02-17,2017-03-15,2017-03-16
8259252a4c4d,2017-03-03,2017-03-15,2017-03-28
9bd93fee775a,2017-02-28,2017-03-15,2017-03-28
47ee64dd1461,2017-03-21,2017-03-21,2017-03-28
33a8ae2118e6,2017-02-28,2017-03-15,2017-03-28
3f41dc42428e,2017-03-11,2017-03-15,2017-03-28
fb4d554a9a82,2017-02-17,2017-03-15,2017-03-19
1b81afe41eae,2017-03-16,2017-03-16,2017-03-28
9bfbbd40e7b2,2017-03-10,2017-03-15,2017-03-28
512b9e7fb97b,2017-02-20,2017-03-15,2017-03-22
4a9153c68172,2017-02-15,2017-03-15,2017-03-17
53129a224790,2017-03-03,2017-03-15,2017-03-28
4eb575fc9f24,2017-02-23,2017-03-15,2017-03-25
1b4f00a9b889,2017-02-22,2017-03-15,2017-03-21
dfc101448d3d,2017-03-01,2017-03-15,2017-03-28
7be433f1d3b3,2017-03-01,2017-03-15,2017-03-16
6985cae71418,2017-02-18,2017-03-15,2017-03-20
010e39227969,2017-02-27,2017-03-15,2017-03-28
e95c5c3e8ba7,2017-02-14,2017-03-15,2017-03-16
812fc38a9864,2017-03-09,2017-03-15,2017-03-28
8b190e1cbbce,2017-03-13,2017-03-15,2017-03-28
187dfd16c384,2017-02-22,2017-03-15,2017-03-24
0a879acae133,2017-03-24,2017-03-24,2017-03-28
f3199e94aa17,2017-03-08,2017-03-15,2017-03-28
e37a9db35b21,2017-03-03,2017-03-15,2017-03-28
5c542eb4fd82,2017-03-27,2017-03-27,2017-03-28
03e6eb3d557c,2017-03-06,2017-03-15,2017-03-28
c61d73c0f9d8,2017-03-13,2017-03-15,2017-03-28
19fb34895c18,2017-03-03,2017-03-15,2017-03-28
72fe16cba154,2017-02-24,2017-03-15,2017-03-26
9824c1bda4da,2017-02-20,2017-03-15,2017-03-22
76472a391621,2017-03-20,2017-03-20,2017-03-28
3f84aa8f2086,2017-03-10,2017-03-15,2017-03-28
3d3835da667d,2017-03-28,2017-03-28,2017-03-28
7a41f5348cf6,2017-03-15,2017-03-15,2017-03-16
4e378971334e,2017-03-12,2017-03-15,2017-03-28
81cb06b18aff,2017-03-05,2017-03-15,2017-03-28
37b33fd74ec7,2017-03-21,2017-03-21,2017-03-28
9d640e7c7806,2017-03-26,2017-03-26,2017-03-28
