item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
— пылесборник на 0.6 л/,,,,,,,,,,,,,,,,,
0d7ffc7a940c,3df01d0f24c4,Татарстан,Казань,Недвижимость,Гаражи и машиноместа,Продам,Гараж,Металлический,"Гараж, 18 м²","Гараж металлический ГСК Мечта.3.20на 5.80.Погреб, яма, пол деревянный.Рядом с охраной, въезд по пропускам. Видеонаблюдение./",,,,,,,
Камера есть/,,,,,,,,,,,,,,,,,
1e72a0ce363a,97b63b871d2a,Краснодарский край,Апшеронск,Транспорт,Автомобили,С пробегом,ВАЗ (LADA),2107,"ВАЗ 2107, 2007","ходовка и двигатель в очень хорошем состоянии, много чего своевременно менялось(свечи, помпа и т.д.)/",,,,,,,
595016282ab6,5af829ac601d,Самарская область,Самара,Бытовая электроника,Телефоны,Lenovo,,,Смартфон Lenovo IdeaPhone P770,Б\у/,,,,,,,
"размер 46-48. Новая с этикеткой не одевалась не разу. Могу подвезти куда удобно\"",1400.0,84,2017-03-21,Private,2756891e0bd1e099502bc31cc03918a0bd09437ebce9b5356d068cf89459390e,81.0,0.0,,,,,,,,,,
сумка для родителей./,,,,,,,,,,,,,,,,,
a4380654f8d4,3313c82a61ed,Иркутская область,Тайшет,Животные,Другие животные,С/х животные,,,Козлик чехо-нубийский,Продается перспективный козлик от очень хороших родителей. /,,,,,,,
904ac5bdde4a,8854bb5ac6de,Саратовская область,Энгельс,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,42–44 (S),Школьная форма,Бантики в подарок☺,1600.0,3,2017-03-26,Private,f67fd70638441ebb1089f3a808f8581df3a1ff3295abf5504f180688b6ab84ff,603.0,0.0
972e5e783a70,28e2f096ea7d,Калининградская область,Калининград,Для дома и дачи,Ремонт и строительство,Садовая техника,,,Триммер,"Продам триммер CROSSER CR T-1 б/у, в рабочем состоянии бензиновый, мощность 1800 Вт. Ремень - подвеска TrioBalance, ремкомплект (прокладки), леска.",2500.0,13,2017-03-20,Private,4952054bd8252c8da66fa817f97548582319c84f4018791943851b29b7d512e0,1363.0,0.81245
Переднее и задние колеса 10/8 дюймов,надувные колеса совершенно не гремят. Съемная родительская ручка регулируется по высоте,на нее крепится небольшая сумочка для личных вещей. Мягкое сиденье трехколесного велосипеда регулируется в двух положениях. Дышащий памперс,"вентилируемые вставки на регулируемой спинке и подголовнике обеспечат комфортную езду во время прогулки.\"",5000.0,277,2017-03-23,Company,e5aa0ffdb94700c73e689d4bff79f7af9c81f9a7f3bacd637a03811ed810e083,2370.0,0.06093,,,,,,,
"Телескопические опалубочные стойки домкраты относятся к проф. строительному оборудованию.\"",450.0,2,2017-03-16,Private,dc0f3930b6f5c0a9fc33ed54e8c9f98820957974e5c9c317b977c3024f516a7d,1318.0,0.20829,,,,,,,,,,
eb33a93d274f,063654e4b4f9,Самарская область,Самара,Хобби и отдых,Спорт и отдых,Другое,,,"Микродвигатель мдс 3,5","Внутри цветная пара, мотор доработан. Есть глушитель. Установлен радиокарб. Мотор не бу, только обкатка. отправка в регионы любой ТК.",3000.0,33,2017-03-24,Private,40c3d53347bedf0dfb89bf0ddaba1d6664571666392a8d27a2e66f7fcc9f52b3,2570.0,0.0
2a5a8a90ded5,1144c2bc6280,Самарская область,Тольятти,Транспорт,Мотоциклы и мототехника,Мотоциклы,Чопперы,,Nf dakota big 2,хорош для начинающих ну и в целях экономии расход по городу 4л на 100км с музыкой и сигнализацией 45тр без этого 40тр торг возможен мот с доками,45000.0,1,2017-03-16,Private,95b349f5b7e9cdcf4b9fabfcfdc7139166a6cba60de8e3066a1f02d7f7a58bec,1138.0,0.06738999999999999
9effa6aaa23b,4eb3881816a2,Алтайский край,Барнаул,Личные вещи,Товары для детей и игрушки,Постельные принадлежности,,,Одеяло детское,Одеяло детское в кроватку размер : 1100*1400 мм. Наполнитель холофайбер,800.0,33,2017-03-26,Private,f8711a8105ef7c73ea6be1091b9782709d5df8aab9c63e1e175000097b08f9ea,1016.0,0.0
5127989d5d7e,57aa70d41222,Самарская область,Тольятти,Для дома и дачи,Мебель и интерьер,"Кровати, диваны и кресла",,,Кровать (евро),"В хорошем состоянии. Размер евро (180*200), без матраса",5000.0,75,2017-03-20,Private,7b71a3e41f435f05eb2d4cf4e32e2a3e7c694f64217c81496769922e13701dcc,1439.0,0.0
410391b551bc,2f84c4c5c368,Воронежская область,Воронеж,Бытовая электроника,Товары для компьютера,Комплектующие,Материнские платы,,Материнская плата AM2 AM2+ AM3 asus M3A78-CM,"Socket AM2, AM2+, AM3 /",,,,,,,
"►►►► ☎ Звоните! 🌞 Пишите whatsapp!◄◄◄◄\"",7640.0,122,2017-03-19,Company,84eb83fd15a1f8e5725684f09a9c7066636851b86a84e6283edaf4dc5f7ae6b9,2218.0,0.0,,,,,,,,,,
"СМОТРИТЕ ДРУГИЕ НАШИ ЛОТЫ - В НАЛИЧИИ МНОГО ИНТЕРЕСНОГО!\"",900.0,168,2017-03-17,Company,0217a5ea515755f89b6a736922df406a36a1e17086684586c9427412dbaf2239,19.0,0.0,,,,,,,,,,
d04fe9a1fde9,4a73361eb1f6,Ярославская область,Ярославль,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,40–42 (XS),Пуховик р-р 40-42,,500.0,18,2017-03-28,Private,3aad664def10243a3226af6be31cff30ae459f1d381a4358b02bb192318ce8a8,96.0,0.30278
Лермонтов - 99 руб./,,,,,,,,,,,,,,,,,
Кирпич керамический рядовой(0% пустотности,М-150)- 9,5 р/,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
0222b44a6c72,0cde12531f1a,Нижегородская область,Кстово,Личные вещи,Детская одежда и обувь,Для мальчиков,Обувь,25,Обувь разная,В хорошем состоянии.500 рублей пара.,500.0,139,2017-03-18,Company,dc56cf29a427320b049cb38068ee23b56cfce8c0311188e4c203bf3671f0c34d,45.0,0.0
----------------------------------------------------------------------/,,,,,,,,,,,,,,,,,
В наш ассортимент входят популярные модели мебели: прихожие,модульные системы,стенки для гостиной,спальни,кровати,комоды,шкафы-купе,компьютерные столы,мягкая мебель. Также возможно производство мебели или отдельных элементов под заказ./,,,,,,,,,
